pi001,1.0,2020-11-03

3,2020-08-31 10:03:03,2020-08-31 10:13:44,14,20200831100212,10000000
4,2020-08-31 10:55:10,2020-08-31 10:56:28,11,20200831105434,10000000
5,2020-08-31 11:02:06,2020-08-31 11:03:28,13,20200831110101,10000000

20123456,2020-08-31 10:13:28,P Pienaar,20200831100212
20123457,2020-08-31 10:13:29,P Zietsman,20200831100212
20123458,2020-08-31 10:13:30,A Strydom,20200831100212
20123459,2020-08-31 10:13:31,Z Bierman,20200831100212
20123460,2020-08-31 10:13:32,M Jansen,20200831100212
20123461,2020-08-31 10:13:33,D Swart,20200831100212
20123462,2020-08-31 10:13:35,F Dippenaar,20200831100212
20123463,2020-08-31 10:13:36,G Janse van Vuuren,20200831100212
20123464,2020-08-31 10:13:37,H van Staaden,20200831100212
20123465,2020-08-31 10:13:38,M Marias,20200831100212
20123468,2020-08-31 10:13:41,E Musk,20200831100212
20123469,2020-08-31 10:13:42,M Zuckerburg,20200831100212
20123470,2020-08-31 10:13:43,D Trump,20200831100212
20123471,2020-08-31 10:13:44,G Small,20200831100212
20123456,2020-08-31 10:56:13,P Pienaar,20200831105434
20123457,2020-08-31 10:56:14,P Zietsman,20200831105434
20123460,2020-08-31 10:56:17,M Jansen,20200831105434
20123461,2020-08-31 10:56:18,D Swart,20200831105434
20123462,2020-08-31 10:56:19,F Dippenaar,20200831105434
20123463,2020-08-31 10:56:20,G Janse van Vuuren,20200831105434
20123467,2020-08-31 10:56:24,F Du Preez,20200831105434
20123468,2020-08-31 10:56:25,E Musk,20200831105434
20123469,2020-08-31 10:56:26,M Zuckerburg,20200831105434
20123470,2020-08-31 10:56:27,D Trump,20200831105434
20123471,2020-08-31 10:56:28,G Small,20200831105434
20123456,2020-08-31 11:03:12,P Pienaar,20200831110101
20123457,2020-08-31 11:03:13,P Zietsman,20200831110101
20123458,2020-08-31 11:03:14,A Strydom,20200831110101
20123459,2020-08-31 11:03:15,Z Bierman,20200831110101
20123460,2020-08-31 11:03:16,M Jansen,20200831110101
20123461,2020-08-31 11:03:17,D Swart,20200831110101
20123462,2020-08-31 11:03:19,F Dippenaar,20200831110101
20123466,2020-08-31 11:03:23,J Marais,20200831110101
20123467,2020-08-31 11:03:24,F Du Preez,20200831110101
20123468,2020-08-31 11:03:25,E Musk,20200831110101
20123469,2020-08-31 11:03:26,M Zuckerburg,20200831110101
20123470,2020-08-31 11:03:27,D Trump,20200831110101
20123471,2020-08-31 11:03:28,G Small,20200831110101

